,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
769,Scrypt,PoW,163055097500.0,200000000000
770,Keccak,PoW,2241009149.22257,5000000000
771,SkunkHash v2 Raptor,PoS,107972766.0,137500000
772,X11,PoW,122475638.389743,1100000000
774,Skein,PoW/PoS,47331802.4774238,100000000
775,SHA-256,PoW,17995589.6469082,21000000
777,X11,PoW/PoS,12569262.5359307,9507271
778,Scrypt,PoW,0.0,1010000000
779,Scrypt,PoS,18663297.3489799,17405891.19707116
780,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466
781,Scrypt,PoW,485214.0,10500000000
782,PoS,PoS,4000000.0,61599965
783,Scrypt,PoW,143006669741.687,0
784,Scrypt,PoW,0.0,1000000000
785,Scrypt,PoW,9704042.0,20000000
786,Scrypt,PoW,17453749.4042601,84000000
787,Scrypt,PoW,32646731.063036,100000000
788,Scrypt,PoW,33716526.0,100000000
789,Scrypt,PoW/PoS,19539588.0,48252000
791,Scrypt,PoW/PoS,4200000.0,4200000
792,CryptoNight,PoW,8946653.0,88888888
793,SHA-512,PoS,25000000.0,91388946
794,Ouroboros,PoS,25927070538.0,45000000000
795,X11,PoW/PoS,7262402.04264803,27000000
796,Equihash,PoW,5211553258.01514,21000000000
798,NeoScrypt,PoW/PoS,182638400.0,400000000
799,X11,PoW,2702855668.85288,1800000000
800,Scrypt,PoW/PoS,1140734.91680375,15733333
801,NeoScrypt,PoW,4165967.57499639,27000000
803,Lyra2REv2,PoS,24000000.0,24000000
804,Equihash,PoW,17202361.088994,21000000
805,Scrypt,PoW/PoS,48459472454.0,25000000000
806,SHA-256,PoW/PoS,92050800.0,100000000
808,NIST5,PoW/PoS,560563220.0,1200000000
809,PHI1612,PoW/PoS,8305775.31777569,60000000
810,Dagger,PoW,33986980.0,156306732.71
811,Scrypt,PoW/PoS,2149688.0,21000000
812,Quark,PoW/PoS,30711550.5294042,200000000
813,Scrypt,PoW,99990001.493466,100000000
814,POS 2.0,PoS,12330806.30517,21000000
815,Scrypt,PoW/PoS,16362544.992,14788275.991
816,SkunkHash,PoW/PoS,0.0,5000000
817,X11,PoW/PoS,0.0,3686860
818,Quark,PoS,0.0,75000000
819,SHA-256,PoS,8999999990.0,9000000000
822,X11,PoW,175215859.0,350000000
823,NeoScrypt,PoW,6375259.04,45000000
824,Scrypt,PoW,0.0,300000000
827,Ethash,PoW,12756367.0,280000000
828,Scrypt,PoW,0.0,105100000
829,Scrypt,PoS,0.0,1970000000
830,NeoScrypt,PoW,5832306.875,31800000
831,Quark,DPoS,0.0,50000000 
832,SHA-256,PoW,0.0,300000000
833,Quark,PoW/PoS,65269530.104519,57879300
835,X11,PoW/PoS,38198594.8342105,144000000
836,DPoS,DPoS,288090567.493887,500000000
837,NIST5,PoW/PoS,28399150208.0,30000000000
838,X13,PoW/PoS,183534024.889807,210000000
840,Multiple,PoW,481730566.566176,660000000
841,Scrypt,PoW,0.0,27000000
843,Scrypt,PoW/PoS,0.0,1000000000
844,Scrypt,PoW/PoS,110976977.29338,210000000
845,CryptoNight,PoW,19281821413.4924,85000000000
850,CryptoNight,PoW,4500000.0,12500000
851,Ethash,PoW,520891780.0,10000000000
852,NIST5,PoS,13247178.8807286,27716121
853,Scrypt,PoW,5761512.8103491,100000000
855,Quark,PoS,16955764.902064,20000000
856,X11,PoW,80316207.0,550000000
857,SHA-256,PoW,0.0,21000000
858,CryptoNight-V7,PoW,441250233.377,999481516
859,Scrypt,PoW/PoS,4911500269.41,50000000000
860,Scrypt,PoW/PoS,8419402.321,150000000
862,Scrypt,PoW,3964201248.87125,4999999999
863,X11,PoW/PoS,45174214.1078625,50000000
864,X11,PoW/PoS,0.0,28000000
865,SHA-256,PoW/PoS,0.0,90000000000
866,BLAKE256,PoW,30089671530.5228, 90000000000
867,X11,PoW,4229040.50393462,19800000
868,Scrypt,PoW/PoS,5573908.0,50000000
870,Scrypt,PoW/PoS,0.0,4600000
871,Scrypt,PoW/PoS,49933217.7511508,70000000
873,NeoScrypt,PoW,7847417.33355824,21000000
874,NeoScrypt,PoW,3982139.24553469,32000000
875,Quark,PoS,27299680.0,120000000
876,NeoScrypt,PoW,299797953.0,500000000
878,Scrypt,PoW,45483049.3398182,64000000
879,Scrypt,PoW/PoS,591022748.0,900000000
880,Scrypt,PoW/PoS,2504486.227718,4000000
882,X11,PoS,4407252.0,21000000
885,Scrypt,PoS,25000000000.0,25000000000
887,X11,PoW,8478104.33969947,23000000
888,SHA-256,PoW,20166000.0,20166000
889,C11,PoW,11916588.09471,23000000
891,NeoScrypt,PoW,0.0,50000000
892,Scrypt,PoW/PoS,0.0,2000000000
896,Scrypt,PoW/PoS,0.0,92233720000000000
897,POS 3.0,PoS,20445861.5344251,25000000
899,Ethash,PoS,1618033.0,1618033
900,Scrypt,PoW,17630550.2128923,24000000
901,Scrypt,PoW and PoS,9399342.52839847,30000000
903,CryptoNight,PoW,53139835213.77,1000000000000
905,SkunkHash,PoW,4818338.98949984,16600000
906,Scrypt,PoW/PoS,234846265.782157,232000000
909,CryptoNight,PoW,133932467.774108,336000000
912,X11,PoS,3680297312.25584,3980000000
914,Equihash,PoW,0.0,21000000
915,Skein,PoW,0.0,17000000
918,Scrypt,PoW,10000000000.0,10000000000
919,SHA-256,PoW/PoS,3427006.0,25000000
920,Dagger,PoW,107325266.027783,100000000
921,Lyra2REv2,PoW,643795911.540095,1100000000
923,X13,PoS,230298925.0,800000000
924,Proof-of-BibleHash,POBh,1772091549.88818,5200000000
925,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000
926,Scrypt,PoW,12446100.00278,40000000
927,Scrypt,PoW,14491014421.0,18406979840
929,Scrypt,PoW,0.0,21000000000
930,Skein,PoW/PoS,11661844.4720073,72000000
931,X11,PoW/PoS,3521630.0,25000000
932,NeoScrypt,PoW,0.0,31500000
933,Equihash,PoW,0.0,21000000
934,Skein,PoW/PoS,2985970.9999482,69000000
935,X11,PoW,211297638.500483,500000000
936,C11,PoW/PoS,11251342.1879021,19340594
937,Proof-of-Authority,PoA,204479039.0,252460800
938,X11,PoW/PoS,2167827.1,25000000
939,Scrypt,PoS/PoW,0.0,466666667
940,XEVAN,PoW/PoS,419275.38,60000000
941,Scrypt,PoS,25570013.1348022,124000000
942,VBFT,PoS,650848625.0,1000000000
943,Ethash,PoW,247612453.0,6500000000
944,X11,PoW,0.0,22000000
946,CryptoNight,PoW,80049082.9057215,1000000000
947,NeoScrypt,PoW,0.0,100000000
948,Scrypt,PoW,4070212.1493016,21000000
951,SHA-256,PoW,2360478328.70966,10044655075.56243680
952,IMesh,PoW,25000000.0,25000000
953,PHI1612,PoW/PoS,1360250.0,32000000
955,Quark,PoW,8928876.68577239,11892000
956,X16S,PoW,0.0,14000000
958,NIST5,PoW/PoS,13787854.6277781,50000000
960,Equihash,PoW,0.0,84096000
963,Scrypt,PoW/PoS,845637.81347436,3000000
964,Scrypt,PoW/PoS,1182153.5,5000000
966,Equihash,PoW,71355477.0,70000000
967,Equihash,PoW,0.0,22300000
968,Scrypt,PoS,267297676.3125,500000000
969,PHI1612,PoW,0.0,23001916
970,Lyra2Z,PoW,27340501.6514783,300000000
971,Equihash,PoW/PoS,0.0,210000000
972,Green Protocol,PoS,9803691.3618195,21000000
973,PoS,PoS,21876586.8530324,88000000
974,Scrypt,PoW/PoS,9880502.37178894,30000000
975,NeoScrypt,PoW,4478901.29233779,21000000
977,Scrypt,PoW/PoS,0.0,100000000
978,Semux BFT consensus,DPoS,1231147.0,100000000
979,Scrypt,PoW/PoS,0.0,500000000
980,Scrypt,PoW,0.0,840000000
981,X11,PoW,31801461.1867843,100000000
982,Quark,PoW/PoS,139739596.506702,200000000
983,PoS,PoS,11075254.0929996,80000000
984,CryptoNight,PoW,16016864.0,18400000
987,X16R,PoS,4403800.0,45000000
989,Scrypt,PoW/PoS,1404157529.46026,5121951220
990,NIST5,PoW,21069346.2522598,21000000
991,Lyra2RE,PoW,5097689.71077377,26280000
992,XEVAN,PoS/PoW,10904963.0923455,21000000
993,Tribus,PoW,795447.0,18000000
995,Scrypt,PoS,38706809.466535,26000000
996,Lyra2Z,PoW,6986399.70430446,10500000
998,Scrypt,PoS,3783270.0,30000000
999,Scrypt,PoW/PoS,8094818.38874615,110000000
1001,CryptoNight,PoW,84300.0,600000518
1002,X11,PoS,11359634.6460345,8148139
1003,SHA-256D,PoW/PoS,658584.46163633,7500000
1005,CryptoNight Heavy,PoW,19153632.0,150000000
1006,CryptoNight,PoW,41294520017.0,184000000000
1008,Scrypt,PoW/PoS,25330252.323,100000000
1009,Scrypt,PoW/PoS,10200000000.0,10200000000
1010,Equihash,PoW,0.0,32000000
1011,X11,PoS,7256580.0,62000000
1013,Scrypt,PoS,7630000.0154,44000000
1014,Jump Consistent Hash,PoW,135862416.039898,168000000
1015,SHA-256D,PoW/PoS,33238183.7225834,100000000
1016,CryptoNight,PoW,560085952.404637,1000000000
1017,Scrypt,PoW/PoS,21599339.6728,84000000
1021,X15,PoS,30284196.369129,90000000
1022,Scrypt,HPoW,77872059787.8998,92000000000
1023,Quark,PoS,2716264.95302831,650000000 
1024,Scrypt,PoW/PoS,63613903.880998,250000000
1025,SHA-512,PoW,60045900.0,545399000
1026,SHA-256,PoS,57811001.000889,100262205
1028,SHA-256D,PoW/PoS,0.0,1713134800
1029,DPoS,PoS,18194936.0,18081806 
1030,X16R,PoW,8125865.02097646,22075700
1031,HMQ1725,PoW,8645406.16776286,21000000
1032,X11,PoW,4993030.69736615,21000000
1033,Scrypt,PoS,8240763.49472804,15600000
